city,date,tod_hhmm,diagnosed
Leipzig,2020-03-17,12:00,71
Leipzig,2020-03-18,12:00,72
Leipzig,2020-03-19,12:00,94
Leipzig,2020-03-20,12:00,119
Leipzig,2020-03-21,12:00,129
Leipzig,2020-03-22,12:00,144
Leipzig,2020-03-23,12:00,161
Leipzig,2020-03-24,12:00,181
Leipzig,2020-03-25,12:00,218
Leipzig,2020-03-26,12:00,227
Leipzig,2020-03-27,12:00,250
Leipzig,2020-03-28,12:00,270
Leipzig,2020-03-29,12:00,290
