city,date,tod_hhmm,diagnosed
Dresden,2020-03-17,12:00,40
Dresden,2020-03-18,12:00,49
Dresden,2020-03-19,12:00,53
Dresden,2020-03-20,12:00,89
Dresden,2020-03-21,12:00,108
Dresden,2020-03-22,12:00,123
Dresden,2020-03-23,12:00,123
Dresden,2020-03-24,12:00,169
Dresden,2020-03-25,12:00,171
Dresden,2020-03-26,12:00,173
Dresden,2020-03-27,12:00,247
Dresden,2020-03-28,12:00,292
Dresden,2020-03-29,12:00,314
